Title,URL,Avg Score,Scores,Raise Count,Type,Meta Recommendation,Meta Confidence,Evidence
Training-Free Diffusion Model Alignment with Sampling Demons,https://openreview.net/forum?id=tfemquulED,6.2,"[5, 6, 6, 6, 8]",2,Turnaround,N/A,N/A,...r response. all concerns have been solved. i will increase my rating to 6.... || ... of section 4.2 would be helpful. i am willing to increase my rating if the above concerns have been solved....
An Image is Worth More Than 16x16 Patches: Exploring Transformers on Individual Pixels,https://openreview.net/forum?id=tjNf0L8QjR,6.25,"[5, 6, 6, 8]",2,Turnaround,N/A,N/A,"...i feel it offers limited practical values. i have raised my score from 3 to 5 (still leaning towards rejection) to acknowledge the authors' efforts, and i wish the acs will carefully weigh my concerns... || ...i feel it offers limited practical values. i have raised my score from 3 to 5 (still leaning towards rejection) to acknowledge the authors' efforts, and i wish the acs will carefully weigh my concerns..."
Semantix: An Energy-guided Sampler for Semantic Style Transfer,https://openreview.net/forum?id=si37wk8U5D,6.25,"[5, 6, 6, 8]",2,Turnaround,N/A,N/A,"...cation with impressive results. as a result, i’ve raised my score from 5 to 6, placing it in the borderline range.... || ...cation with impressive results. as a result, i’ve raised my score from 5 to 6, placing it in the borderline range. please see weaknesses. ['no ethics review needed.'] 6 4 yes..."
Scaling Diffusion Language Models via Adaptation from Autoregressive Models,https://openreview.net/forum?id=j1tSLYKwg8,6.25,"[5, 6, 6, 8]",2,Turnaround,N/A,N/A,"...ntial to the soundness of this work. i decided to increase my rating to 6.... || ...first sentence of the conclusion).  in summary, i raised my score to 5...."
Ensembling Diffusion Models via Adaptive Feature Aggregation,https://openreview.net/forum?id=e32cI4r8Eo,6.29,"[5, 5, 6, 6, 6, 8, 8]",2,Turnaround,N/A,N/A,"...or clarifying my concern, i am satisfied and will increase my score accordingly.... || ...ocess. given these improvements, i am inclined to increase my score...."
DPLM-2: A Multimodal Diffusion Protein Language Model,https://openreview.net/forum?id=5z9GjHgerY,6.33,"[3, 8, 8]",2,Turnaround,N/A,N/A,"...esented their work effectively. therefore, i have raised my score to 8.... || ... it should be accepted by iclr. therefore, i have raised my score to 8...."
Jump Your Steps: Optimizing Sampling Schedule of Discrete Diffusion Models,https://openreview.net/forum?id=pD6TiCpyDR,6.5,"[5, 5, 8, 8]",2,Turnaround,N/A,N/A,"...tf1f stated, “currently, although i have slightly raised my score to 5, my concern about the practical significance and relevance of the proposed approach still persists. as a result, i am still incli... || ...oncern in w3. currently, although i have slightly raised my score to 5, my concern about the practical significance and relevance of the proposed approach still persists. as a result, i am still incli..."
Training Free Guided Flow-Matching with Optimal Control,https://openreview.net/forum?id=61ss5RA1MM,6.5,"[6, 6, 6, 8]",2,Turnaround,N/A,N/A,...m with the reproducibility statement. i therefore raised my score towards acceptance as my major concern has been resolved.... || ...els that are missing in the current literature. i raised my score to an 8....
Probing the Latent Hierarchical Structure of Data via Diffusion Models,https://openreview.net/forum?id=0GzqVqCKns,6.5,"[6, 6, 6, 8]",2,Turnaround,N/A,N/A,"...y confident about how realistic the rhm is. i can increase my ratings and lower my confidence score if the authors would like.... || ...thanks for the great rebuttal, i have raised my rating to 6. i appreciate the authors' efforts to enhance the clarity and rigor of their work (point 1), and i also found their clarificatio..."
IterComp: Iterative Composition-Aware Feedback Learning from Model Gallery for Text-to-Image Generation,https://openreview.net/forum?id=4w99NAikOE,6.8,"[6, 6, 6, 8, 8]",2,Turnaround,N/A,N/A,"...rs,  the rebuttal solves my concerns. i decide to increase my score to 6.... || ...osed and the solid experimental results, and have raised my score to 8.  once again, thank you for your contributions to the research on generative models and for this insightful discussion...."
Ambient Diffusion Posterior Sampling: Solving Inverse Problems with Diffusion Models Trained on Corrupted Data,https://openreview.net/forum?id=qeXcMutEZY,7,"[5, 6, 8, 8, 8]",2,Turnaround,N/A,N/A,"...xperiments addressed most of my concerns, so i am increasing my score to 8. i also appreciate the authors' efforts to make the paper more comprehensive overall.  regarding the question: ""is there a mo... || ... comparisons with new baselines.  i am willing to increase my score if the authors could address my concerns.  [1] millard, charles, and mark chiew. ""a theoretical framework for self-supervised mr ima..."
ViBiDSampler: Enhancing Video Interpolation Using Bidirectional Diffusion Sampler,https://openreview.net/forum?id=nNYA7tcJSE,7,"[6, 6, 8, 8]",2,Turnaround,N/A,N/A,"...nderstand the difference, i am more than happy to increase my rating to encourage this kind of generative works with amazing visual results.... || ...pt for some minor issues (see weaknesses). i will increase my score once the authors address my concerns. ['no ethics review needed.'] 8 5 yes..."
Spectral Compressive Imaging via Unmixing-driven Subspace Diffusion Refinement,https://openreview.net/forum?id=Q150eWkQ4I,7,"[6, 6, 8, 8]",2,Turnaround,N/A,N/A,"... i have no further comments at this time and have raised my score to ""borderline accept"". thank you for your thoughtful responses and thorough updates.... || ...er rebuttal: i read the authors response and have raised my score. 3 4 3 1. the proposed method has higher performance than previous diffusion-based methods on cassi reconstruction. 2. the method cost..."
GameGen-X: Interactive Open-world Game Video Generation,https://openreview.net/forum?id=8VG8tpPZhe,7,"[6, 6, 8, 8]",2,Turnaround,N/A,N/A,"...ssed these concerns in their updates, so i am not increasing my score from 5 to 8.... || ...tive examples. my concerns are addressed and i've raised my score to accept (8)...."
DEEM: Diffusion models serve as the eyes of large language models for image perception,https://openreview.net/forum?id=qtWjSboqfe,7.2,"[6, 6, 8, 8, 8]",2,Turnaround,N/A,N/A,"...ttals. my main concerns have been addressed, so i increase my score to 6. looking forward for you open-sourced codebase and models.... || ...thank you for the detailed feedback. i've raised my rating...."
A Geometric Framework for Understanding Memorization in Generative Models,https://openreview.net/forum?id=aZ1gNJu8wO,7.33,"[6, 8, 8]",2,Turnaround,N/A,N/A,"...ncern regarding the contribution. i am pleased to increase my score in favor of acceptance.... || ...sting frameworks, such as [2]. i will be happy to increase my score if this is resolved.  [2] robi bhattacharjee, sanjoy dasgupta, and kamalika chaudhuri. data-copying in generative models: a formal f..."
Diffusion Attribution Score: Evaluating Training Data Influence in Diffusion Models,https://openreview.net/forum?id=kuutidLf6R,7.5,"[6, 6, 8, 10]",2,Turnaround,N/A,N/A,"...(q1) have addressed my main concerns. therefore i raised my score from a 5 to an 8, especially because the analysis on the differences between $\tau_{\text{das}}, \tau_{\text{square}}, \tau_{\text{sim... || ...ou for your response and additional experiment. i raised my rating...."
"Field-DiT: Diffusion Transformer on Unified Video, 3D, and Game Field Generation",https://openreview.net/forum?id=w6YS9A78fq,5,"[3, 6, 6]",1,Turnaround,N/A,N/A,"...s, neurips 2020. please see weakness. i'm gald to increase my scores if my concerns can be addressed. ['no ethics review needed.'] 6 4 yes..."
Implicit Search via Discrete Diffusion: A Study on Chess,https://openreview.net/forum?id=A9y3LFX4ds,5,"[3, 5, 6, 6]",1,Turnaround,N/A,N/A,"...ffirm that i would need higher elo performance to increase my score further. however, i think the evaluation is sufficient for a current publication version and urge other reviewers to raise their sco..."
Distribution Backtracking Builds A Faster Convergence Trajectory for Diffusion Distillation,https://openreview.net/forum?id=2ySt3cdGfJ,5.5,"[3, 5, 6, 8]",1,Turnaround,N/A,N/A,...uable contribution with a lot of utility and i am increasing my score to reflect that i believe it should be published....
Retrieval Augmented Diffusion Model for Structure-informed Antibody Design and Optimization,https://openreview.net/forum?id=a6U41REOa5,5.67,"[5, 6, 6]",1,Turnaround,N/A,N/A,...thanks for the clarification. i have raised my score...
DreamDistribution: Learning Prompt Distribution for Diverse In-distribution Generation,https://openreview.net/forum?id=oQoQ4u6MQC,5.75,"[5, 6, 6, 6]",1,Turnaround,N/A,N/A,...tative result to sec. c.7 to the appendix. i have raised my score to 6 accordingly....
ConceptPrune: Concept Editing in Diffusion Models via Skilled Neuron Pruning,https://openreview.net/forum?id=kSdWcw5mkp,5.75,"[3, 6, 6, 8]",1,Turnaround,N/A,N/A,"...ds are commendable. consequently, i am willing to increase my score to a 5, indicating a borderline reject.  however, a key concern remains that prevents me from assigning a more favorable rating: the..."
Build-A-Scene: Interactive 3D Layout Control for Diffusion-Based Image Generation,https://openreview.net/forum?id=gg6dPtdC1C,5.75,"[3, 6, 6, 8]",1,Turnaround,N/A,N/A,...i raised my rating for the new metric  i am willing to raise my rate more if more metrics are added 1. 3d bbox for the objects that have 3d detector (li...
FreCaS: Efficient Higher-Resolution Image Generation via Frequency-aware Cascaded Sampling,https://openreview.net/forum?id=TsBDfe8Ra5,5.75,"[5, 6, 6, 6]",1,Turnaround,N/A,N/A,"...esponse addressed most of my concerns, and i have raised my score to 6. however, i still have some reservations regarding the comparison with sr as post-processing, as mentioned by reviewer 27vz. it s..."
Think while You Generate: Discrete Diffusion with Planned Denoising,https://openreview.net/forum?id=MJNywBdSDy,5.75,"[3, 6, 6, 8]",1,Turnaround,N/A,N/A,"...om my original review have been addressed. i have updated my score accordingly.  as a final suggestion for future submissions, please consider highlighting in red the changes done during the rebuttals..."
Automated Filtering of Human Feedback Data for Aligning Text-to-Image Diffusion Models,https://openreview.net/forum?id=8jvVNPHtVJ,5.75,"[5, 6, 6, 6]",1,Turnaround,N/A,N/A,...the responses address most of my concerns. i have raised my score....
Wayward Concepts In Multimodal Models,https://openreview.net/forum?id=74vnDs1R97,5.8,"[5, 6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...ed responses. all my concerns were resolved, so i raised my score...."
SynCamMaster: Synchronizing Multi-Camera Video Generation from Diverse Viewpoints,https://openreview.net/forum?id=m8Rk3HLGFx,5.86,"[3, 6, 6, 6, 6, 6, 8]",1,Turnaround,N/A,N/A,... of my concerns are addressed and i would like to increase my rating....
EgoSim: Egocentric Exploration in Virtual Worlds with Multi-modal Conditioning,https://openreview.net/forum?id=zAyS5aRKV8,6,"[6, 6, 6]",1,Turnaround,N/A,N/A,...al clarifications provided by the authors. i have raised my score....
Accelerating Diffusion Transformers with Token-wise Feature Caching,https://openreview.net/forum?id=yYZbZGo4ei,6,"[6, 6, 6, 6]",1,Turnaround,N/A,N/A,... future work or note them as a limitation. i have raised my scores accordingly....
Growth Inhibitors for Suppressing Inappropriate Image Concepts in Diffusion Models,https://openreview.net/forum?id=w4C4z80w59,6,"[6, 6, 6, 6]",1,Turnaround,N/A,N/A,"... for addressing my concerns in the rebuttal, i am increasing my score to 6...."
High-Precision Dichotomous Image Segmentation via Probing Diffusion Capacity,https://openreview.net/forum?id=vh1e2WJfZp,6,"[6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...f my concerns have been addressed. hence, i would increase my rating to borderline accept...."
Hallo2: Long-Duration and High-Resolution Audio-Driven Portrait Image Animation,https://openreview.net/forum?id=rkzabmWl5k,6,"[6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...oncerns have been addressed by the rebuttal, so i raised my rating to 6. the reason for not considering the higher score is that i think the novelty of this work is limited as it is built on top of ex..."
GravMAD: Grounded Spatial Value Maps Guided Action Diffusion for Generalized 3D Manipulation,https://openreview.net/forum?id=qPzYF2EpXb,6,"[6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...oncerns have been addressed. consequently, i have updated my score...."
SAFREE: Training-Free and Adaptive Guard for Safe Text-to-Image And Video Generation,https://openreview.net/forum?id=hgTFotBRKl,6,"[6, 6, 6]",1,Turnaround,N/A,N/A,"...e more clearly explained. for this reason, i have raised my rating...."
Dysca: A Dynamic and Scalable Benchmark for Evaluating Perception Ability of LVLMs,https://openreview.net/forum?id=bU1JOvdXXK,6,"[6, 6, 6]",1,Turnaround,N/A,N/A,"...thanks for the authors response, i've  updated my score after reading all the responses to reviewers' comments...."
Add-it: Training-Free Object Insertion in Images With Pretrained Diffusion Models,https://openreview.net/forum?id=ZeaTvXw080,6,"[6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...resolved my issue. as a result, i have decided to increase my rating. thank you once again for your excellent work...."
Revisit Large-Scale Image-Caption Data in Pre-training Multimodal Foundation Models,https://openreview.net/forum?id=TWnUgSAWNw,6,"[6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...perimental settings they have considered. thus, i increase my score...."
Towards Understanding Text Hallucination of Diffusion Models via Local Generation Bias,https://openreview.net/forum?id=SKW10XJlAI,6,"[6, 6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...s rebuttal has addressed my main concerns. i have raised my score to a 6 according and vote for acceptance. - **q1** when comparing unet and dit architectures, do the authors ensure equal parameter co..."
Cafe-Talk: Generating 3D Talking Face Animation with Multimodal Coarse- and Fine-grained Control,https://openreview.net/forum?id=S7cWJkWqOi,6,"[6, 6, 6]",1,Turnaround,N/A,N/A,...oncerns have been addressed and i will marginally increase my score.  soundness: 2 -> 3 presentation: 3 contribution: 3 rating: 6...
EC-DIT: Scaling Diffusion Transformers with Adaptive Expert-Choice Routing,https://openreview.net/forum?id=PxlfzEePC0,6,"[6, 6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...asing model weights. based on this, i am happy to increase my score from 5 to 6. looking forward to seeing more exciting results...."
Zigzag Diffusion Sampling: Diffusion Models Can Self-Improve via Self-Reflection,https://openreview.net/forum?id=MKvQH1ekeY,6,"[6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...as most of my concerns are well addressed, i have raised my score to 5.  however, i still have some specific concerns that i would like to see addressed.  **q1: about the oversaturation effects**  the..."
VEDIT: Latent Prediction Architecture For Procedural Video Representation Learning,https://openreview.net/forum?id=LDAj4UJ4aL,6,"[6, 6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...have adequately addressed my concerns, and i have updated my score to 6. i would also suggest that the authors consider including the additional experiments and analyses provided in the rebuttal in th..."
Fine-Tuning Discrete Diffusion Models via Reward Optimization with Applications to DNA and Protein Design,https://openreview.net/forum?id=G328D1xt4W,6,"[6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...x as well.   **concluding remarks**  i am open to increasing my score if all the points in my review are sufficiently addressed, especially the experimental ones.  **references**  liu, liyuan, et al. ..."
InstaRevive: One-Step Image Enhancement via Dynamic Score Matching,https://openreview.net/forum?id=G1CN7R5qwE,6,"[6, 6, 6]",1,Turnaround,N/A,N/A,"...rns have been thoroughly addressed, and i will be increasing my score accordingly...."
"T2V-Turbo-v2: Enhancing Video Model Post-Training through Data, Reward, and Conditional Guidance Design",https://openreview.net/forum?id=BZwXMqu4zG,6,"[6, 6, 6, 6, 6]",1,Turnaround,N/A,N/A,"...ial and motion aspects). however, i am willing to increase my score to 6 and leave the final decision to the area chair...."
Efficient Diversity-Preserving Diffusion Alignment via Gradient-Informed GFlowNets,https://openreview.net/forum?id=Aye5wL6TCn,6,"[6, 6, 6, 6, 6]",1,Turnaround,N/A,N/A,"... the authors address my concerns, i am willing to increase my score. ['no ethics review needed.'] 6 4 yes..."
Generating Physical Dynamics under Priors,https://openreview.net/forum?id=eNjXcP6C0H,6.25,"[5, 6, 6, 8]",1,Turnaround,N/A,N/A,"...h more carefully designed experiments. as such, i increase my score to 5...."
"On Statistical Rates of Conditional Diffusion Transformers: Approximation,  Estimation and Minimax Optimality",https://openreview.net/forum?id=c54apoozCS,6.25,"[5, 6, 6, 8]",1,Turnaround,N/A,N/A,...ing my questions and addressing my concerns. i've updated my score accordingly....
ImageFolder: Autoregressive Image Generation with Folded Tokens,https://openreview.net/forum?id=QE1LFzXQPL,6.25,"[5, 6, 6, 8]",1,Turnaround,N/A,N/A,... code to the public to inspire the community. i **raised my score to 8** for the clear response and novel method....
ControlAR: Controllable Image Generation with Autoregressive Models,https://openreview.net/forum?id=BWuBDdXVnH,6.25,"[5, 6, 6, 8]",1,Turnaround,N/A,N/A,"...ns have already earned this paper an accept. i'll increase my score.  here is my remained concern: > firstly, we encode these diverse controls into a sequence of our expected length (which determines ..."
Not All Prompts Are Made Equal: Prompt-based Pruning of Text-to-Image Diffusion Models,https://openreview.net/forum?id=3BhZCfJ73Y,6.25,"[5, 6, 6, 8]",1,Turnaround,N/A,N/A,"...some of my concerns have been addressed, and so i updated my score to 6...."
ProtPainter: Draw or Drag Protein via Topology-guided Diffusion,https://openreview.net/forum?id=Nq7yKYL0Bp,6.33,"[5, 6, 8]",1,Turnaround,N/A,N/A,"...periments and the efforts made. i have decided to increase my score. however, i still believe that this paper is on the borderline between acceptance and rejection. 1. i do not have additional concern..."
PeriodWave: Multi-Period Flow Matching for High-Fidelity Waveform Generation,https://openreview.net/forum?id=tQ1PmLfPBL,6.4,"[6, 6, 6, 6, 8]",1,Turnaround,N/A,N/A,...initely looks better with such comparison. i have updated my score accordingly....
"U-Nets as Belief Propagation: Efficient Classification, Denoising, and Diffusion in Generative Hierarchical Models",https://openreview.net/forum?id=sy1lbQxj9J,6.4,"[6, 6, 6, 6, 8]",1,Turnaround,N/A,N/A,...tant stepping stone to future analyses. i will be increasing my score to reflect my change in opinion....
Lotus: Diffusion-based Visual Foundation Model for High-quality Dense Prediction,https://openreview.net/forum?id=stK7iOPH9Q,6.4,"[6, 6, 6, 6, 8]",1,Turnaround,N/A,N/A,"...nd can provide some insights for industry. i will increase my score a bit, but encourage the authors to add all these analysis to the supp. also do the exploration i mentioned about the random noises...."
Image Watermarks are Removable using Controllable Regeneration from Clean Noise,https://openreview.net/forum?id=mDKxlfraAn,6.4,"[6, 6, 6, 6, 8]",1,Turnaround,N/A,N/A,"...cceptance standards of iclr, and i have therefore raised my score...."
PT-T2I/V: An Efficient Proxy-Tokenized Diffusion Transformer for Text-to-Image/Video-Task,https://openreview.net/forum?id=lTrrnNdkOX,6.4,"[6, 6, 6, 6, 8]",1,Turnaround,N/A,N/A,"... to other token merging approaches, leading me to increase my score. nevertheless, some concerns persist. specifically, the current version of the paper does not adequately convey the distinct efficie..."
OmniPhysGS: 3D Constitutive Gaussians for General Physics-Based Dynamics Generation,https://openreview.net/forum?id=9HZtP6I5lv,6.4,"[6, 6, 6, 6, 8]",1,Turnaround,N/A,N/A,"... considering the pytorch implementation of mpm, i raised my score to 6...."
Denoising Task Difficulty-based Curriculum for Training Diffusion Models,https://openreview.net/forum?id=96GMFXsbJE,6.4,"[6, 6, 6, 6, 8]",1,Turnaround,N/A,N/A,"...ns. based on this and the other responses, i have updated my score accordingly...."
GDrag:Towards General-Purpose Interactive Editing with Anti-ambiguity Point Diffusion,https://openreview.net/forum?id=8G3FyfHIko,6.4,"[6, 6, 6, 6, 8]",1,Turnaround,N/A,N/A,"...rs' rebuttal and they address my concerns well, i increase my score. thank you!..."
What Secrets Do Your Manifolds Hold? Understanding the Local Geometry of Generative Models,https://openreview.net/forum?id=etif9j1CnG,6.5,"[6, 6, 6, 8]",1,Turnaround,N/A,N/A,"...wers. before asking any further questions, i have raised my score. because i believe this is a very strong empirical exploration paper. i have some further questions about the rebuttal fig 1.   1. the..."
Improved Training Technique for Latent Consistency Models,https://openreview.net/forum?id=PQjZes6vFV,6.5,"[6, 6, 6, 8]",1,Turnaround,N/A,N/A,...k my concerns have been well addressed. i tend to increase my score and vote for accepting this paper....
QuaDiM: A Conditional Diffusion Model For Quantum State Property Estimation,https://openreview.net/forum?id=P7f55HQtV8,6.5,"[6, 6, 6, 8]",1,Turnaround,N/A,N/A,"...miltonian parameters.    due to the above, i have raised my rating and modified the scoring...."
Periodic Materials Generation using Text-Guided Joint Diffusion Model,https://openreview.net/forum?id=AkBrb7yQ0G,6.5,"[6, 6, 6, 8]",1,Turnaround,N/A,N/A,... nice contribution to the iclr conference. i have raised my scores accordingly....
Hummingbird: High Fidelity Image Generation via Multimodal Context Alignment,https://openreview.net/forum?id=6kPBThI6ZJ,6.5,"[6, 6, 6, 8]",1,Turnaround,N/A,N/A,... think the writing requires improvement.   thus i increase my score to 6....
VILA-U: a Unified Foundation Model Integrating Visual Understanding and Generation,https://openreview.net/forum?id=02haSpO453,6.5,"[6, 6, 6, 8]",1,Turnaround,N/A,N/A,"...ttals. my main concerns have been addressed, so i increase my score to 6. looking forward for you open-sourced codebase and models. please add missing references about deem, seed, and mm-interleaved...."
Diffusion Feedback Helps CLIP See Better,https://openreview.net/forum?id=tLFWU6izoA,6.6,"[5, 6, 6, 8, 8]",1,Turnaround,N/A,N/A,"... it has been largely resolved in revision, i have updated my score towards positive. -- reviewer..."
DartControl: A Diffusion-Based Autoregressive Motion Model for Real-Time Text-Driven Motion Control,https://openreview.net/forum?id=XNA3Mnnbvb,6.6,"[3, 6, 8, 8, 8]",1,Turnaround,N/A,N/A,...announce that my questions are addressed and i'll increase my score to vote for acceptance....
Proteina: Scaling Flow-based Protein Structure Generative Models,https://openreview.net/forum?id=TVQLu34bdw,6.6,"[5, 6, 6, 8, 8]",1,Turnaround,N/A,N/A,...laborate more on this.   i would like to consider increasing my score if the concerns are fixed. refer to above ['no ethics review needed.'] 6 4 yes...
DSPO: Direct Score Preference Optimization for Diffusion Model Alignment,https://openreview.net/forum?id=xyfb9HHvMe,6.67,"[6, 6, 8]",1,Turnaround,N/A,N/A,...responses to my comments. i appreciate it! i have updated my score as well.   consider this comment as a consolidated response to all the comments you have made in response to my review.   i think the...
Masked Temporal Interpolation Diffusion for Procedure Planning in Instructional Videos,https://openreview.net/forum?id=HnpDHiItd2,6.67,"[6, 6, 8]",1,Turnaround,N/A,N/A,"...=6 on crosstalk, sr when t=3 on coin). but i will increase my score...."
EgoExo-Gen: Ego-centric Video Prediction by Watching Exo-centric Videos,https://openreview.net/forum?id=8J2DrrWDKE,6.67,"[6, 6, 8]",1,Turnaround,N/A,N/A,...buttal has addressed the questions i have. i will increase my rating....
ParaSolver: A Hierarchical Parallel Integral Solver for Diffusion Models,https://openreview.net/forum?id=2JihLwirxO,6.67,"[6, 6, 8]",1,Turnaround,N/A,N/A,...the authors have addressed my concerns. i will increase my score to a 6....
Diffusion Models are Evolutionary Algorithms,https://openreview.net/forum?id=xVefsBbG2O,6.75,"[5, 6, 8, 8]",1,Turnaround,N/A,N/A,"...ults in the revised manuscript, i have decided to increase my score...."
Energy-Based Diffusion Language Models for Text Generation,https://openreview.net/forum?id=sL2F9YCMXf,6.75,"[5, 6, 8, 8]",1,Turnaround,N/A,N/A,...ve checked your response carefully and decided to increase my score....
Synthio: Augmenting Small-Scale Audio Classification Datasets with Synthetic Data,https://openreview.net/forum?id=bR1J7SpzrD,6.75,"[5, 6, 8, 8]",1,Turnaround,N/A,N/A,...not sure the comparison is fair.   i'm willing to increase my score in case i missed something. ['no ethics review needed.'] 8 4 yes...
Improved Sampling Algorithms for Lévy-Itô Diffusion Models,https://openreview.net/forum?id=XxCgeWSTNp,6.75,"[5, 6, 8, 8]",1,Turnaround,N/A,N/A,"...se. as some of my concerns were addressed, i have raised my score...."
Efficient Perplexity Bound and Ratio Matching in Discrete Diffusion Language Models,https://openreview.net/forum?id=Mri9WIfxSm,6.75,"[5, 6, 8, 8]",1,Turnaround,N/A,N/A,...per during the rebuttal phase improved it. i will increase my score to reflect that....
HART: Efficient Visual Generation with Hybrid Autoregressive Transformer,https://openreview.net/forum?id=q5sOv4xQe4,6.8,"[6, 6, 6, 8, 8]",1,Turnaround,N/A,N/A,"...hi authors, i have raised my score...."
RFWave: Multi-band Rectified Flow for Audio Waveform Reconstruction,https://openreview.net/forum?id=gRmWtOnTLK,6.8,"[5, 5, 8, 8, 8]",1,Turnaround,N/A,N/A,"...n flow models in audio processing. i am therefore increasing my score to 8.**  a minor correction: according to the provided code, you do not use an idft matrix for the time-domain loss, but rather an..."
